player.id,player.name,team.id.x,rating,position.id,xG,Goal,Shot,Shot_As,Cross,Block,Clearance,Dribble,Dispossessed,Duel,Foul_won,Foul_committed,Pressure,pass
5174,Sergei Ignashevich,796,6.5,5,0,0,0,0,3,0,10,0,0,0,0,1,0,19
5175,Ilya Kutepov,796,6.2,3,0,0,0,0,1,0,5,0,0,0,1,1,0,27
5179,Daler Kuzyaev,796,6.1,9,0,0,0,0,1,0,1,0,1,0,1,2,0,13
5181,Yury Gazinskiy,796,5.6,10,0,0,0,0,0,0,0,1,0,1,0,1,1,17
5182,Aleksandr Samedov,796,6.2,17,0,0,0,0,1,0,0,1,0,0,2,0,1,31
5186,Denis Cheryshev,796,5.7,21,0.06,0,1,0,1,0,0,0,0,1,0,1,0,5
5194,Fyodor Smolov,796,6.3,21,0,0,0,0,0,0,0,1,3,3,1,0,1,11
5195,Artem Dzyuba,796,6.9,23,0.06,0,1,1,2,0,2,6,3,4,5,7,0,16
5677,Fedor Kudryashov,796,5.8,6,0,0,0,0,3,0,0,1,0,0,2,2,0,38
6298,Igor Smolnikov,796,4.3,2,0,0,0,0,1,0,0,0,0,0,2,2,0,9
6299,Aleksey Miranchuk,796,6.2,20,0,0,0,0,0,0,0,4,1,1,1,1,2,14
5173,Abdullah Ibrahim Otayf,799,7.9,10,0.09,0,2,1,0,0,0,0,2,0,3,1,0,107
5178,Salman Mohammed Al Faraj,799,7.9,16,0.91,1,3,5,1,0,0,1,5,1,0,1,1,89
5183,Yasir Gharsan Al Shahrani,799,7.1,6,0.02,0,1,0,1,0,3,4,0,0,1,0,1,63
5184,Osama Abdulrezag Hawsawi,799,6.3,3,0,0,0,0,0,0,1,3,0,0,1,2,3,30
5187,Salem Mohammed Al Dawsari,799,8.7,17,0.2,1,4,2,1,0,0,1,10,1,3,0,1,59
5188,Hattan Babhir,799,6.2,12,0.13,0,3,0,0,0,0,0,0,0,0,1,0,25
5190,Fahad Mosaed Al Muwallad Al Harbi,799,6,21,0.76,0,1,1,1,0,0,1,2,1,1,3,1,11
5191,Mohammed Al Burayk,799,6.9,2,0.09,0,2,0,1,0,1,4,0,0,2,0,2,78
5192,Yehya Sulaiman Al Shehri,799,6.2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,20
5716,Hussain Al Mogahwi,799,7,13,0.13,0,4,2,1,0,1,1,2,0,3,1,1,68
6290,Motaz Ali Hassan Hawsawi,799,6.5,5,0,0,0,0,1,0,0,3,0,0,1,0,2,27
3531,Mohamed Salah,774,7.3,22,0.61,1,2,3,0,0,0,4,7,5,0,1,1,15
3536,Ramadan Sobhi,774,5.9,21,0,0,0,0,0,0,0,0,0,1,0,1,0,7
3568,Mohamed Naser Elsayed Elneny,774,6.1,13,0.05,0,1,0,1,0,1,0,0,2,0,1,0,38
4063,Ahmed Hegazi,774,6.5,5,0,0,0,0,4,0,8,2,0,1,0,0,2,29
5250,Ahmed Fathy Abdel Meneim Ibrahim,774,5.8,2,0,0,0,1,4,0,3,4,1,0,0,6,4,32
5251,Abdalla Mahmoud El Said Bekhit,774,6.7,17,0,0,0,0,0,0,0,1,0,0,0,0,1,12
5252,Marwan Mohsen,774,6.7,24,0.02,0,1,0,0,0,2,2,2,1,1,2,0,7
5253,Amr Medhat Warda,774,6.1,18,0.04,0,1,0,2,0,0,1,0,0,2,0,0,11
5254,Ali Gabr,774,5.7,3,0,0,0,0,0,0,5,1,0,0,1,1,1,26
5257,Mahmoud Abdul Monem Abdelhamid Soliman,774,5.9,24,0,0,0,0,1,0,1,0,0,0,0,1,0,3
